claim,fact-check agency,time,orginated,label,poynter_url
New york Jewish temple was found to hide medical N95 masks which is needed by hospitals.,Fatabyyano,2020/04/02 ,"Middle East, North Africa",Partially false,https://www.poynter.org/?ifcn_misinformation=new-york-jewish-temple-was-found-to-hide-medical-n95-masks-which-is-needed-by-hospitals
New York hospitals treating coronavirus patients with vitamin C.,Open,2020/04/02 ,Italy,False,https://www.poynter.org/?ifcn_misinformation=new-york-hospitals-treating-coronavirus-patients-with-vitamin-c
"For every click on the Italian song Rinascerò rinascerai, YouTube donates money to a hospital in Bergamo.",Nieuwscheckers,2020/04/01 ,Netherlands,False,https://www.poynter.org/?ifcn_misinformation=for-every-click-on-the-italian-song-rinascero-rinascerai-youtube-donates-money-to-a-hospital-in-bergamo
A video purportedly showing COVID-19 victims in body bags strewn across the floor of a New York hospital was shared several thousand times in multiple languages on social media.,AFP,2020/04/01 ,"United States, France, Spain",False,https://www.poynter.org/?ifcn_misinformation=a-video-purportedly-showing-covid-19-victims-in-body-bags-strewn-across-the-floor-of-a-new-york-hospital-was-shared-several-thousand-times-in-multiple-languages-on-social-media
NYT invented the video of a doctor fighting coronavirus in hospital.,LeadStories,2020/04/01 ,United States,False,https://www.poynter.org/?ifcn_misinformation=nyt-invented-the-video-of-a-doctor-fighting-coronavirus-in-hospital
"A hospital with 2200 beds was constructed in Gujarat, India, in just 6 days.",Factly,2020/04/01 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=a-hospital-with-2200-beds-was-constructed-in-gujarat-india-in-just-6-days
"The father of Pablo Iglesias, vice president of Spain, is hospitalized at the Clinical Hospital of Salamanca.",Newtral.es,2020/04/01 ,Spain,Misleading,https://www.poynter.org/?ifcn_misinformation=the-father-of-pablo-iglesias-vice-president-of-spain-is-hospitalized-at-the-clinical-hospital-of-salamanca
"The former mayor of Madrid, Manuela Carmena, has received a respirator at home in order to avoid “going to a public hospital”.",Newtral.es,2020/04/01 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=the-former-mayor-of-madrid-manuela-carmena-has-received-a-respirator-at-home-in-order-to-avoid-going-to-a-public-hospital
Video of empty hospitals is proof that the pandemic is not real.,Faktograf,2020/04/01 ,Croatia,False,https://www.poynter.org/?ifcn_misinformation=video-of-empty-hospitals-is-proof-that-the-pandemic-is-not-real
Empty hospital lots and waiting rooms are indicative of a coronavirus hoax.,LeadStories,2020/04/01 ,United States,False,https://www.poynter.org/?ifcn_misinformation=empty-hospital-lots-and-waiting-rooms-are-indicative-of-a-coronavirus-hoax
"To defeat the coronavirus, China built a thousand-bed hospital in 10 days, while India has prepared a modern hospital of 6,370 beds overnight, at a very low cost.",Newschecker,2020/03/31 ,India,False,https://www.poynter.org/?ifcn_misinformation=to-defeat-the-coronavirus-china-built-a-thousand-bed-hospital-in-10-days-while-india-has-prepared-a-modern-hospital-of-6370-beds-overnight-at-a-very-low-cost
"To defeat the coronavirus, China built a thousand-bed hospital in 10 days, while India has prepared a modern hospital of 6,370 beds overnight, at a very low cost.",Newschecker,2020/03/31 ,India,False,https://www.poynter.org/?ifcn_misinformation=to-defeat-the-coronavirus-china-built-a-thousand-bed-hospital-in-10-days-while-india-has-prepared-a-modern-hospital-of-6370-beds-overnight-at-a-very-low-cost-2
A photo of the vice president of Spain in the hospital allegedly visiting his father sickened by the coronavirus.,Maldita.es,2020/03/31 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=a-photo-of-the-vice-president-of-spain-in-the-hospital-allegedly-visiting-his-father-sickened-by-the-coronavirus
A video of a Doctor of Mumbai’s Kasturba hospital suggesting tea and hot water to cure COVID-19.,India Today,2020/03/31 ,India,Mostly false,https://www.poynter.org/?ifcn_misinformation=a-video-of-a-doctor-of-mumbais-kasturba-hospital-suggesting-tea-and-hot-water-to-cure-covid-19
Sanitary protection supplies being retained by La Paz Hospital in Madrid.,Maldita.es,2020/03/31 ,Spain,Explanatory,https://www.poynter.org/?ifcn_misinformation=sanitary-protection-supplies-being-retained-by-la-paz-hospital-in-madrid
