claim,fact-check agency,time,orginated,label,poynter_url
First case of postmortem study of patient vaccinated against SARS-CoV-2; viral RNA found in every organ of the body.,,2021/06/13 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=first-case-of-postmortem-study-of-patient-vaccinated-against-sars-cov-2-viral-rna-found-in-every-organ-of-the-body
Reported results of injections (not vaccines!) In the USA,,2021/06/07 ,North Macedonia,misleading,https://www.poynter.org/?ifcn_misinformation=reported-results-of-injections-not-vaccines-in-the-usa-5165-deaths-51133-seek-medical-attention-39121-admitted-to-the-emergency-center-17619-hospitalized-1565-paralyzes-of-the-face-1342-deve
Charts with numbers show that after start vaccinations cases of COVID-19 increased.,,2021/06/02 ,Poland,FAŁSZ,https://www.poynter.org/?ifcn_misinformation=charts-with-numbers-show-that-after-start-vaccinations-cases-of-covid-19-increased
"80% covid cases in New Taipei City link to open markets. That means that virus can be transmitted through bills, plastic bags.",,2021/06/01 ,Taiwan,Explanatory,https://www.poynter.org/?ifcn_misinformation=80-covid-cases-in-new-taipei-city-link-to-open-markets-that-means-that-virus-can-be-transmitted-through-bills-plastic-bags
India’s catastrophic second wave of Covid-19 cases was caused by 5G technology.,,2021/05/28 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=indias-catastrophic-second-wave-of-covid-19-cases-was-caused-by-5g-technology
"In the United States, after vaccination with mRNA vaccines against COVID-19, there were cases of myocarditis among adolescents.",,2021/05/27 ,"Ukraine, United States",MISLEADING,https://www.poynter.org/?ifcn_misinformation=in-the-united-states-after-vaccination-with-mrna-vaccines-against-covid-19-there-were-cases-of-myocarditis-among-adolescents
New cases in Seychelles prove vaccines are ineffective.,,2021/05/27 ,"Turkey, Seychelles",FALSE,https://www.poynter.org/?ifcn_misinformation=new-cases-in-seychelles-prove-vaccines-are-ineffective
CNN reported that 10% of covid cases in the USA contrasted the virus by touching contaminated fridge handles.,,2021/05/26 ,Taiwan,PARTLY FALSE,https://www.poynter.org/?ifcn_misinformation=cnn-reported-that-10-of-covid-cases-in-the-usa-contrasted-the-virus-by-touching-contaminated-fridge-handles
"The Supreme Court of Canada accepted the crimes against humanity case brought by Dr. Reiner Fuellmich, Robert F. Kennedy Jr. and Dolores Cahill for actions taken during the pandemic.",,2021/05/24 ,"Spain, Canada",FALSE,https://www.poynter.org/?ifcn_misinformation=the-supreme-court-of-canada-accepted-the-crimes-against-humanity-case-brought-by-dr-reiner-fuellmich-robert-f-kennedy-jr-and-dolores-cahill-for-actions-taken-during-the-pandemic
Centers for Disease Control and Prevention changed testing thresholds to “virtually eliminate” COVID-19 cases among vaccinated individuals.,,2021/05/23 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=centers-for-disease-control-and-prevention-changed-testing-thresholds-to-virtually-eliminate-covid-19-cases-among-vaccinated-individuals-2
"Posts purported to be words from Dr. Yuarn-Jang Lee of Taipei Medical University Hospital, explaining the backlog of COVID-19 cases. There were two other very similar versions with differences of doctors’ names.",,2021/05/23 ,Taiwan,FALSE,https://www.poynter.org/?ifcn_misinformation=posts-purported-to-be-words-from-dr-yuarn-jang-lee-of-taipei-medical-university-hospital-explaining-the-backlog-of-covid-19-cases-there-were-two-other-very-similar-versions-with-differences-of-doct
Centers for Disease Control and Prevention changed testing thresholds to “virtually eliminate” COVID-19 cases among vaccinated individuals.,,2021/05/23 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=centers-for-disease-control-and-prevention-changed-testing-thresholds-to-virtually-eliminate-covid-19-cases-among-vaccinated-individuals
"According to the current contact tracing system, if you are in the supermarket at the same time a COVID positive case is, you will be put in quarantine for seven days as you are considered a close contact person.",,2021/05/22 ,Taiwan,Partly False,https://www.poynter.org/?ifcn_misinformation=according-to-the-current-contact-tracing-system-if-you-are-in-the-supermarket-at-the-same-time-a-covid-positive-case-is-you-will-be-put-in-quarantine-for-seven-days-as-you-are-considered-a-close-con
"The World Health Organization (WHO) has warned of 50,000 daily deaths in India as it battles a surge in Covid-19 cases.",,2021/05/19 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=the-world-health-organization-who-has-warned-of-50000-daily-deaths-in-india-as-it-battles-a-surge-in-covid-19-cases
CDC director finally admits that COVID cases are hugely over-counted.,,2021/05/18 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=cdc-director-finally-admits-that-covid-cases-are-hugely-over-counted
